"sessionToken","Finished","age","gender","country","race","education","SES","ageoverwatch","accounts","totalhours","weeklyhours","class","peaksr","currentsr","team","aids","level","league","congruent","incongruent","RTinterference","mixingCosts","speed","switchCosts","userCode","updatingaccuracy","MD","outlier_maha","educationcode","zCSR","zAGE","zSES","zEDU","zTH","zWH"
"1x08eiE71625499225598","TRUE",25,"Male","United Kingdon","White","Master's degree",7,21,"No",300,5,"Tank",1996,1981,"Team","Other","Casual","No",417.874125874126,515.295454545455,0.233135584711159,545.772231251451,485.397260273973,102.937651331719,138332,0.8,2.261,FALSE,5,-1.13960543523545,0.325079953793799,0.689093935607023,1.86259283798928,-0.62405074839501,-0.751222884296871
"2aRtBVa61627856549795","TRUE",28,"Male","Philippines","Asian/Pacific Islander","Bachelor's degree",7,26,"No",800,12,"Tank",2100,2045,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video,Other","Casual","No",430.322602757036,490.764999997616,0.140458337194773,434.604222001258,556.509813078096,537.951419464367,139500,0.41,3.577,FALSE,4,-1.04465190216139,0.908940660278712,0.689093935607023,0.548670758477463,-0.205477880714531,0.31811561245644
"4HW6JE0s1625506644647","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",7,13,"No",1500,8,"Tank",3271,3098,"Solo queue","Training maps (workshop),Coaching (team),Other","Casual","No",469.693617046302,571.785714299338,0.217358919831716,297.210429280353,633.447465443941,390.869377994309,138361,0.51,0.839,FALSE,3,0.517630446697909,-1.037261694671,0.689093935607023,-0.765251321034357,0.380524134038139,-0.29293495711688
"5dBBOQVu1625302243651","TRUE",21,"Male","UK","White","Bachelor's degree",3,18,"No",300,2,"Tank",2800,2600,"Team","Training maps (workshop),YouTube video","Casual","Yes",486.199270068294,519.747619041375,0.0690012327010866,425.370411899246,496.38699551655,252.463425910583,138249,0.47,3.414,FALSE,4,-0.221226732534692,-0.453400988186087,-2.00800490913444,0.548670758477463,-0.62405074839501,-1.20951081147686
"669hmXJ21625531298468","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",3,16,"Yes",500,12,"Tank",3807,3681,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",503.315217391304,578.888372093266,0.150150744683737,510.47196165195,570.266371681396,170.046412429316,138403,0.58,0.529,FALSE,3,1.38259778704451,-1.037261694671,-2.00800490913444,-0.765251321034357,-0.456621601322819,0.31811561245644
"8MaWixZ41623192364013","TRUE",23,"Male","France","White","Bachelor's degree",5,18,"No",1145,7,"Tank",2597,2270,"Team","Training maps (workshop),YouTube video","Casual","No",436.092086330592,528.29999999553,0.211441382577708,383.818066957026,511.438073395316,367.345583784151,137333,0.63,0.347,FALSE,4,-0.710830887447861,-0.0641605171961442,-0.659455486763711,0.548670758477463,0.0833373979849991,-0.445697599510211
"96ka69RH1627756666826","TRUE",29,"Female","United Kingdom","White","Bachelor's degree",4,28,"No",470,15,"Tank",2054,1524,"Solo queue","YouTube video","Casual","No",604.05594404594,715.26595743159,0.184105486390499,315.273226813204,762.249186979077,150.922229053792,139483,0.55,0.567,FALSE,4,-1.81763300734248,1.10356089577368,-1.33373019794908,0.548670758477463,-0.481735973383647,0.776403539636431
"9IABItcG1627709485284","TRUE",21,"Male","United States","White","High school degree or equivalent (A levels)",7,16,"No",2000,20,"Tank",3253,2801,"Solo queue","Training maps (workshop),Other","Casual","No",398.899264705532,465.859999979867,0.16786377213246,363.95312609308,594.887551879487,142.433006236286,139407,0.66,0.44,FALSE,3,0.0769867072760564,-0.453400988186087,0.689093935607023,-0.765251321034357,0.799097001718618,1.54021675160308
"9n04RZnh1625516204165","TRUE",18,"Male","United Kingdom","White","High school degree or equivalent (A levels)",8,15,"No",400,4,"Tank",2820,2820,"Team","Training maps (workshop),YouTube video","Casual","No",597.521527774632,596.343589746035,-0.00197137337123898,278.753879313325,698.561637929287,113.170447676779,138382,0.84,5.976,FALSE,3,0.105176037407421,-1.037261694671,1.36336864679239,-0.765251321034357,-0.540336174858915,-0.903985526690201
"aArk0b9l1625517899804","TRUE",20,"Male","United Kingdom","White","High school degree or equivalent (A levels)",8,19,"Yes",555,15,"Tank",2560,2450,"Team","VOD reviewing,YouTube video,Coaching (team)","Casual","Yes",504.171034482789,517.934146341527,0.0272984977664508,380.832967836223,520.098611111106,-45.4297270957946,138385,0.43,8.049,FALSE,3,-0.443774075677042,-0.648021223681058,1.36336864679239,-0.765251321034357,-0.410578585877966,0.776403539636431
"AcCd7bxe1627746363032","TRUE",29,"Male","Russia","White","High school degree or equivalent (A levels)",4,25,"No",177,10,"Tank",2519,2245,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video,Other","Casual","No",428.952447551322,516.778571428288,0.204745594478645,449.697241379764,515.120000000163,250.481091952016,139477,0.32,2.495,FALSE,3,-0.747922111304919,1.10356089577368,-1.33373019794908,-0.765251321034357,-0.727019673844408,0.0125903276697799
"AqyavPIf1625787479274","TRUE",26,"Male","United States ","White","Bachelor's degree",5,24,"No",220,2,"Tank",3200,2800,"Team","Training maps (workshop),YouTube video,Coaching (team)","Casual","No",459.950724637631,567.899999999926,0.234697478620872,573.78376294335,677.496629213436,234.795217599689,138561,0.44,1.294,FALSE,4,0.0755030583217741,0.51970018928877,-0.659455486763711,0.548670758477463,-0.691022407223887,-1.20951081147686
"CEaBox951627716329892","TRUE",19,"Male","Spain","White","Bachelor's degree",7,15,"Yes",550,5,"Tank",2650,2520,"Solo queue","YouTube video","Casual","No",390.683216783967,516.675000001159,0.322490902614997,171.611129571322,532.567441859911,598.081077690215,139426,0.56,5.503,FALSE,4,-0.339918648877278,-0.84264145917603,0.689093935607023,0.548670758477463,-0.414764314554771,-0.751222884296871
"FBViLCzb1625537297873","TRUE",24,"Male","Singapore","Asian/Pacific Islander","Bachelor's degree",6,21,"No",1000,5,"Tank",2700,2500,"Solo queue","Other","Casual","No",345.363636364262,407.309090913245,0.179362990270489,433.735739308769,429.001357465713,53.0611488379845,138408,0.6,1.189,FALSE,4,-0.369591627962925,0.130459718298827,0.0148192244216564,0.548670758477463,-0.0380487336423398,-0.751222884296871
"FqzowVmB1625387043211","TRUE",22,"Male","Australia","White","Bachelor's degree",6,17,"No",800,10,"Tank",3555,3246,"Solo queue","VOD reviewing,YouTube video","Casual","No",427.068794319816,528.564285709744,0.237656070262822,343.758134732831,538.589035093784,20.624258755031,138304,0.87,4.093,FALSE,4,0.737210491931694,-0.258780752691116,0.0148192244216564,0.548670758477463,-0.205477880714531,0.0125903276697799
"Hy0bQXCZ1625622879284","TRUE",22,"Male","UK","White","Bachelor's degree",5,18,"Yes",2000,10,"Tank",2000,1800,"Solo queue","Training maps (workshop),YouTube video,Coaching (team)","Casual","No",669.724822695532,790.059523809879,0.179677827424731,-129.938176855572,1103.40567685602,-137.993970589296,138533,0.15,9.604,FALSE,4,-1.40814589596056,-0.258780752691116,-0.659455486763711,0.548670758477463,0.799097001718618,0.0125903276697799
"J0MalExc1625332460557","TRUE",18,"Male","England","White","High school degree or equivalent (A levels)",7,13,"Yes",4000,35,"Tank",4255,4100,"Team","Training maps (workshop),VOD reviewing","Casual","Yes",367.393265306119,390.707236842101,0.0634578086687456,168.385652281762,457.180736607142,648.443861111081,138292,0.91,6.186,FALSE,3,2.0042466988888,-1.037261694671,0.689093935607023,-0.765251321034357,2.47338847244053,3.83165638750303
"K00kP6zD1625262092016","TRUE",23,"Male","United Kingdom","White","Bachelor's degree",4,19,"No",3000,4,"Tank",3850,3700,"Solo queue","VOD reviewing","Casual","No",380.764539006754,463.384090886875,0.216983314926433,426.180208331488,473.953124997871,227.463440856498,138135,0.61,0.334,FALSE,4,1.41078711717587,-0.0641605171961442,-1.33373019794908,0.548670758477463,1.63624273707958,-0.903985526690201
"kWUvX8Nm1625262420154","TRUE",27,"Male","Mexico","Hispanic or Latino","Bachelor's degree",6,22,"No",1015,9,"Tank",3000,2500,"Solo queue","Training maps (workshop),YouTube video","Casual","No",420.382432431788,463.632608698762,0.102882929757042,402.405978030817,520.485957451323,61.4250136691895,138137,0.59,2.121,FALSE,4,-0.369591627962925,0.714320424783741,0.0148192244216564,0.548670758477463,-0.0254915476119255,-0.14017231472355
"L6Dy20ly1627737426196","TRUE",20,"Male","United States","White","High school degree or equivalent (A levels)",7,15,"Yes",2300,7,"Tank",4488,4048,"Solo queue","VOD reviewing,YouTube video,Other","Casual","No",393.136690644909,458.270454539494,0.165677143458013,425.947988052936,444.134468088251,198.43641178559,139466,0.91,1.888,FALSE,3,1.92709695326612,-0.648021223681058,0.689093935607023,-0.765251321034357,1.05024072232691,-0.445697599510211
"LxyvrqQH1625580765096","TRUE",27,"Male","Scotland","White","Bachelor's degree",4,22,"No",500,10,"Tank",3064,2746,"Team","YouTube video","Casual","No",468.334074078666,583.488235287807,0.245880382365257,640.495871778723,555.766197185561,181.523385586372,138438,0.41,1.902,FALSE,4,-0.00461398520947175,0.714320424783741,-1.33373019794908,0.548670758477463,-0.456621601322819,0.0125903276697799
"MaYtQcwR1625501782634","TRUE",22,"Male","United States of America","White","High school degree or equivalent (A levels)",5,19,"Yes",2400,3,"Tank",4100,3950,"Solo queue","VOD reviewing,YouTube video,Coaching (individual)","Casual","No",458.85401459854,535.906976744186,0.167924785866941,315.637624521073,501.724444444444,151.619063109954,138340,0.57,0.521,FALSE,3,1.78169935574645,-0.258780752691116,-0.659455486763711,-0.765251321034357,1.133955295863,-1.05674816908353
"mXKxNGbd1627699724568","TRUE",18,"Female","United States","White","High school degree or equivalent (A levels)",6,13,"No",1400,5,"Tank",3106,2597,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",517.318840579926,582.850000005215,0.126674604295926,236.271512861146,660.939013453075,418.547165995305,139386,0.65,0.915,FALSE,3,-0.225677679397539,-1.037261694671,0.0148192244216564,-0.765251321034357,0.296809560502043,-0.751222884296871
"n1S0HkTn1627735381793","TRUE",19,"Male","Canada","White","High school degree or equivalent (A levels)",7,15,"Yes",500,2,"Tank",2752,2700,"Team","YouTube video","Casual","No",371.183098568043,460.917500030994,0.241752390691091,360.430163347623,497.755021819902,108.007797288616,139464,0.85,3.027,FALSE,3,-0.072861837106459,-0.84264145917603,0.689093935607023,-0.765251321034357,-0.456621601322819,-1.20951081147686
"n4O6kXCJ1627689390561","TRUE",19,"Male","Spain","White","High school degree or equivalent (A levels)",6,17,"No",1200,8,"Tank",3904,3700,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",486.329850746958,519.050000000526,0.0672797468699743,457.788636362349,510.556818182021,336.247272727435,139353,0.71,2.102,FALSE,3,1.41078711717587,-0.84264145917603,0.0148192244216564,-0.765251321034357,0.129380413429852,-0.29293495711688
"qP9Knt6O1626221242482","TRUE",25,"Male","United States ","White","Master's degree",3,23,"No",820,6,"Tank",3300,3000,"Team","Training maps (workshop),YouTube video,Coaching (individual),Coaching (team)","Casual","No",460.496503495655,555.253488374441,0.205771344971091,463.013142729301,686.667708333365,161.955319150559,138685,0.8,1.267,FALSE,5,0.37223284917824,0.325079953793799,-2.00800490913444,1.86259283798928,-0.188734966007312,-0.598460241903541
"R9o9vbZf1625533728251","TRUE",19,"Male","United States","Hispanic or Latino","High school degree or equivalent (A levels)",5,14,"No",200,25,"Tank",1600,1400,"Prefer not to say","VOD reviewing,YouTube video","Casual","No",391.102836879512,471.362790697622,0.205214450650575,354.140498899426,524.431914893665,150.852586206923,138405,0.59,0.547,FALSE,3,-2.00160547767349,-0.84264145917603,-0.659455486763711,-0.765251321034357,-0.707765321931106,2.30402996356973
"rRmBdhHS1625528799092","TRUE",23,"Male","Germany","White","High school degree or equivalent (A levels)",7,18,"Yes",1800,21,"Tank",4053,3862,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video,Other","Casual","Yes",355.864864875336,413.284090922637,0.161351208603907,484.887432936107,407.40944206203,212.507291676477,138400,0.88,1.449,FALSE,3,1.65113824776961,-0.0641605171961442,0.689093935607023,-0.765251321034357,0.631667854646426,1.69297939399641
"sx1jxR6I1625500833949","TRUE",22,"Male","United States","White","Bachelor's degree",8,18,"No",250,10,"Tank",1498,1472,"Solo queue","VOD reviewing,YouTube video","Casual","No",394.997222222224,444.776190476187,0.126023590682259,290.450819672161,496.099999999999,557.407362146034,138336,0.8,2.54,FALSE,4,-1.89478275296516,-0.258780752691116,1.36336864679239,0.548670758477463,-0.665908035163058,0.0125903276697799
"Td0qJy4u1627696755830","TRUE",23,"Male","USA","Asian/Pacific Islander","Bachelor's degree",7,21,"Yes",500,15,"Tank",3550,3500,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","Yes",446.554861096872,527.018181786393,0.180186865488103,417.037403447911,543.817596555268,182.131666696072,139379,0.56,0.373,FALSE,4,1.11405732631941,-0.0641605171961442,0.689093935607023,0.548670758477463,-0.456621601322819,0.776403539636431
"US6JfNj61627688445489","TRUE",28,"Male","United States of America","Asian/Pacific Islander","Master's degree",7,23,"Yes",1344,5,"Tank",3039,2735,"Solo queue","VOD reviewing,YouTube video","Casual","No",446.473648613369,511.836956482867,0.146399027294217,469.528410463939,513.694396581629,443.711619213253,139350,0.59,0.948,FALSE,5,-0.0209341237065774,0.908940660278712,0.689093935607023,1.86259283798928,0.24992939932183,-0.751222884296871
"V3rA1nLQ1627691555629","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",7,12,"No",2000,10,"Tank",3010,2550,"Team","Other","Casual","No",533.871323528097,723.167567568051,0.354572788792975,300.172257954526,707.124170617328,341.387207791132,139361,0.32,6.36,FALSE,3,-0.295409180248809,-1.037261694671,0.689093935607023,-0.765251321034357,0.799097001718618,0.0125903276697799
"yL68iR861627723796999","TRUE",23,"Male","Germany","Other","High school degree or equivalent (A levels)",4,18,"No",400,5,"Tank",2500,2000,"Solo queue","Training maps (workshop)","Casual","No",436.789041096217,498.746511631927,0.141847584775053,586.358942255037,563.982327586233,122.717746551098,139439,1,3.635,FALSE,3,-1.11141610510409,-0.0641605171961442,-1.33373019794908,-0.765251321034357,-0.540336174858915,-0.751222884296871
"ySjMvi0J1625521129025","TRUE",23,"Male","United States","White","Bachelor's degree",7,22,"No",500,15,"Tank",3400,2950,"Solo queue","Other","Casual","No",648.039455790098,655.689130441002,0.0118043347246159,384.942032518426,676.49796747919,209.406666668256,138388,0.91,5.244,FALSE,4,0.298050401464124,-0.0641605171961442,0.689093935607023,0.548670758477463,-0.456621601322819,0.776403539636431
"ZKXlEAy41623181228263","TRUE",35,"Male","Canada","White","High school degree or equivalent (A levels)",5,32,"No",300,8,"Tank",2600,2600,"Team","VOD reviewing,YouTube video","Casual","No",370.959420288589,445.213378388183,0.200167333779603,658.184591688485,436.771953779766,436.418722407263,137327,0.81,1.371,FALSE,3,-0.221226732534692,2.27128230874351,-0.659455486763711,-0.765251321034357,-0.62405074839501,-0.29293495711688
