"userCode","sessionToken","updatingaccuracy"
137302,"9a0tAGV01623173234965",0.32
137317,"GPLb4aeg1623177883416",0.75
137324,"9mfIStCM1623179821255",0.08
137327,"ZKXlEAy41623181228263",0.81
137329,"Ei7VAjL21623181854067",0.11
137330,"TouJf0mx1623182910754",0.39
137331,"oAnbVi7E1623186720350",0.9
137333,"8MaWixZ41623192364013",0.63
137812,"FbWHxQjp1623946211837",0.99
138135,"K00kP6zD1625262092016",0.61
138137,"kWUvX8Nm1625262420154",0.59
138147,"NAlDXKUp1625263234825",0.24
138148,"jBDGiVbS1625263525814",0.13
138150,"DPXvzMod1625263591137",0.64
138151,"2JX3xOJ01625264011299",0.65
138156,"EWvgJoUr1625265358271",0.24
138175,"4xgijuVR1625270926699",0.37
138176,"jyTYYB0J1625271013012",0.48
138186,"UrTwF0611625274503638",0.1
138189,"UB0GLJ1S1625275445621",0.2
138195,"08w1C78V1625277753825",0.1
138196,"ZopdMFbw1625277959111",0.1
138199,"Qn8mHe0V1625278500136",0.12
138200,"Pf8EZEz91625279496481",0.5
138201,"yihhd01J1625280510896",0.1
138203,"fH0C9Zz01625282128398",0.19
138204,"p5T0z4fp1625282143949",0.1
138205,"Ae5apEoW1625282318304",0.1
138206,"UGW6dTXz1625282399680",0.87
138208,"CZttY5qt1625283263127",0.1
138211,"5ZAUYEfu1625284291044",0.57
138216,"9g0tgj3o1625289621135",0.14
138218,"Q0Tv85Ei1625292053607",0.16
138220,"yMFSs2dH1625293521084",0.1
138221,"fX1pz3Sj1625294141545",0.1
138222,"dg769fj21625294259947",0.1
138223,"QIOlp8Sd1625295119324",0.16
138225,"N50NpdmQ1625295906390",0.1
138227,"VrL0c3wK1625297442109",0.1
138229,"tRClJT6T1625297639039",0.71
138230,"b9JXhJE01625298322078",0.11
138231,"IfRYGq0o1625298802509",0.06
138232,"Z094jLkj1625299301133",0.1
138234,"tVDp79rL1625300438116",0.1
138239,"nrOHI3ty1625300971860",0.25
138240,"9XN4D20y1625301011077",0.76
138241,"xEr98bZe1625301025162",0.97
138242,"3i0PdU4h1625301204743",0.1
138243,"9WyZg2m61625301294615",0.65
138245,"rxiMe7fc1625301529937",0.52
138249,"5dBBOQVu1625302243651",0.47
138250,"YR3EcHEh1625302245658",0.79
138251,"DTizH5FP1625302323313",0.1
138252,"ykNllrAC1625302630512",0.1
138253,"0HxD3Wdc1625303059371",0.54
138254,"zFsTQ4iX1625303167306",0.05
138255,"fqGTqbk21625303574542",0.9
138258,"7zL67yT01625304343063",0.13
138259,"OrySrlqj1625304426510",0.1
138260,"KTuVAJV21625304479491",0.1
138262,"yd0TMitG1625304577531",0.13
138263,"9tJnzema1625305977450",0.1
138265,"hEtlwJbl1625307258765",0.11
138266,"z5pjv3BJ1625307461262",0.1
138268,"GlQf6Pis1625307697969",0.11
138269,"u3UiQc7w1625308089800",0.1
138270,"MU2rRWwp1625308350275",0.1
138273,"wngGKZs81625309979283",0.74
138275,"GFtbhQ0L1625312672566",0.4
138278,"5VvGMOI01625314347058",0.25
138279,"WxMpXfWt1625315089094",0.71
138280,"AUCgzF021625316260953",0.34
138282,"ladQY4FR1625316869682",0.59
138290,"Y8PzDO6r1625330741495",0.51
138292,"J0MalExc1625332460557",0.91
138301,"80lUI55p1625376264965",0.4
138304,"FqzowVmB1625387043211",0.87
138308,"bdgQe0j21625417825227",0.59
138309,"OVvqmwF01625421976037",0.56
138312,"CZMzVHAB1625427885183",0.6
138327,"YMTO7xA51625498266609",0.83
138331,"0uhgUllr1625498930814",0.39
138332,"1x08eiE71625499225598",0.8
138336,"sx1jxR6I1625500833949",0.8
138340,"MaYtQcwR1625501782634",0.57
138342,"Cb4XmQkV1625502183757",0.98
138353,"VqUJC1tm1625505217065",0.56
138354,"78oGkkUX1625505608135",0.92
138356,"MuFcUttz1625505916138",0.89
138361,"4HW6JE0s1625506644647",0.51
138363,"ozfzvbAh1625506979705",0.47
138368,"PfY06X9o1625507701010",0.81
138370,"qJn0YZje1625509146369",0.75
138373,"Y92TMq8r1625510939979",0.53
138379,"2yuDrRkj1625513007633",0.82
138380,"q0QH9hXh1625515261544",0.84
138382,"9n04RZnh1625516204165",0.84
138385,"aArk0b9l1625517899804",0.43
138388,"ySjMvi0J1625521129025",0.91
138391,"kEEIcpEW1625522023343",0.18
138392,"UsHEaf0M1625522278318",0.33
138400,"rRmBdhHS1625528799092",0.88
138403,"669hmXJ21625531298468",0.58
138405,"R9o9vbZf1625533728251",0.59
138408,"FBViLCzb1625537297873",0.6
138415,"LYiVh0FT1625549939038",0.48
138435,"JSLW4RBu1625579597086",0.83
138438,"LxyvrqQH1625580765096",0.41
138451,"1DPTTnkC1625595089459",0.17
138452,"3QYQXMA71625595147819",0.11
138453,"oII4n9d31625595236969",0.63
138454,"BLDMh8L91625595256490",0.24
138455,"zPOTu20T1625595268303",0.15
138463,"JjyyIQbJ1625595338817",0.45
138464,"I30fO4Z41625595340690",0.36
138465,"0lAzUTLt1625595341735",0.17
138467,"sMiHi0ZO1625595355779",0.12
138468,"jh1J1ems1625595355086",0.13
138482,"25VAuJCA1625595508500",0.3
138490,"08lOx5KA1625595509315",0.14
138493,"SXnK1wWV1625595535394",0.1
138507,"CmDgS27S1625596521667",0.08
138508,"wncZuM0b1625596583229",0.54
138509,"dIN8Odix1625596643280",0.11
138513,"COKlERUN1625597640722",0.16
138515,"ckSWINN11625598476517",0.37
138520,"f1VvExpf1625599065691",0.14
138521,"qOliWOt41625599952084",0.07
138523,"wFt8W40D1625599957999",0.07
138524,"rDuMrvHb1625599970132",0.09
138525,"8yMn0INW1625599999751",0.12
138526,"shBUZg551625600256334",0.14
138527,"Q2eVGEFx1625601442008",0.49
138530,"qRW09uTm1625607036019",0.73
138533,"Hy0bQXCZ1625622879284",0.15
138535,"EKXKvdWx1625630483899",0.1
138546,"q04J71Yv1625674643112",0.8
138550,"sxTsvjdG1625738047435",0.28
138561,"AqyavPIf1625787479274",0.44
138562,"OIjG944j1625789503264",0.69
138563,"UAifJGyL1625794270834",0.48
138684,"6bBojwZK1626219376059",0.69
138685,"qP9Knt6O1626221242482",0.8
138686,"nf4T8wT91626223037844",0.54
138689,"UAp8PjB01626227467209",0.65
138693,"FQ2C26lQ1626254400858",0.86
138694,"gA501RRB1626256607743",0.8
138695,"sO9sGNvv1626258314332",0.74
138765,"uNq9vRD61626451241971",0.9
139350,"US6JfNj61627688445489",0.59
139353,"n4O6kXCJ1627689390561",0.71
139354,"PcCNF1js1627689409086",0.83
139358,"omvmyy1y1627689902436",0.54
139361,"V3rA1nLQ1627691555629",0.32
139362,"ZQYUQSvI1627691868284",0.64
139364,"YP98WBXD1627692678740",0.55
139371,"gVYdzdAZ1627695003432",0.83
139379,"Td0qJy4u1627696755830",0.56
139384,"6kvLpN6q1627698269793",0.85
139385,"wLdjZCMg1627698602078",0.86
139386,"mXKxNGbd1627699724568",0.65
139394,"pXOWHZU91627704810789",0.91
139395,"IkR8UUYi1627704851972",0.82
139399,"Z0jZA3OZ1627706402797",0.54
139407,"9IABItcG1627709485284",0.66
139426,"CEaBox951627716329892",0.56
139430,"XGEL03UF1627717923794",0.89
139431,"LoJnpPfI1627719568887",0.51
139438,"yFB8vhPf1627722884003",0.81
139439,"yL68iR861627723796999",1
139455,"aD3tu67I1627731746489",0.79
139460,"jm3tOZmp1627733538094",0.51
139464,"n1S0HkTn1627735381793",0.85
139466,"L6Dy20ly1627737426196",0.91
139476,"17n14lHO1627746293331",0.89
139477,"AcCd7bxe1627746363032",0.32
139481,"vVMHHldk1627753672074",0.45
139483,"96ka69RH1627756666826",0.55
139487,"C0PyjbjJ1627760317416",1
139494,"upL6gYkv1627774375989",1
139496,"sBalk3rf1627799663496",0.6
139500,"2aRtBVa61627856549795",0.41
139535,"X5HaYsEs1627910363978",0.87
139538,"dJZB082Z1627915898256",0.37
139542,"CpOHdhEm1627943480971",0.5
